id_date;date;month;quarter;week;weekday;day
139;2022-05-26;5;2;21;3;26
92;2022-04-04;4;2;14;0;4
68;2022-03-10;3;1;10;3;10
229;2022-08-29;8;3;35;0;29
11;2022-01-11;1;1;2;1;11
289;2022-11-04;11;4;44;4;4
135;2022-05-22;5;2;20;6;22
134;2022-05-21;5;2;20;5;21
54;2022-02-24;2;1;8;3;24
320;2022-12-08;12;4;49;3;8
1;2022-01-01;1;1;52;5;1
144;2022-05-31;5;2;22;1;31
245;2022-09-17;9;3;37;5;17
226;2022-08-26;8;3;34;4;26
112;2022-04-25;4;2;17;0;25
110;2022-04-23;4;2;16;5;23
333;2022-12-22;12;4;51;3;22
93;2022-04-05;4;2;14;1;5
257;2022-10-01;10;4;39;5;1
141;2022-05-28;5;2;21;5;28
330;2022-12-19;12;4;51;0;19
326;2022-12-15;12;4;50;3;15
98;2022-04-11;4;2;15;0;11
250;2022-09-22;9;3;38;3;22
164;2022-06-21;6;2;25;1;21
10;2022-01-10;1;1;2;0;10
2;2022-01-02;1;1;52;6;2
27;2022-01-28;1;1;4;4;28
322;2022-12-10;12;4;49;5;10
197;2022-07-26;7;3;30;1;26
213;2022-08-12;8;3;32;4;12
44;2022-02-14;2;1;7;0;14
101;2022-04-14;4;2;15;3;14
111;2022-04-24;4;2;16;6;24
126;2022-05-11;5;2;19;2;11
72;2022-03-14;3;1;11;0;14
38;2022-02-08;2;1;6;1;8
239;2022-09-09;9;3;36;4;9
314;2022-12-02;12;4;48;4;2
24;2022-01-25;1;1;4;1;25
150;2022-06-06;6;2;23;0;6
178;2022-07-05;7;3;27;1;5
152;2022-06-08;6;2;23;2;8
317;2022-12-05;12;4;49;0;5
325;2022-12-13;12;4;50;1;13
116;2022-04-29;4;2;17;4;29
232;2022-09-02;9;3;35;4;2
58;2022-02-28;2;1;9;0;28
